ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27925,Estudiante de licenciatura,3.12,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,05:30:00,07:00:00,,,
27926,Estudiante de licenciatura,,5,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:15:00,,Mi horario de salida es flexible,01:20:00,04:30:00,,,
27927,Estudiante de licenciatura,7.24,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,03:30:00,2 veces por semana,Nunca,2
27928,Estudiante de licenciatura,5.43,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,11:00:00,04:00:00,Mi horario de salida es fijo,08:00:00,,2 veces por semana,1 vez por semana,1
27929,Profesor (a) de tiempo fijo,11.63,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:15:00,,Mi horario de salida es flexible,14:00:00,19:00:00,Nunca,Nunca,1
27930,Estudiante de licenciatura,11.03,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,1
27931,Estudiante de licenciatura,7.24,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,03:00:00,2 veces por semana,1 vez por semana,1
27932,Estudiante de licenciatura,17.02,,Automóvil compacto,Pasajera,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,13:30:00,21:20:00,1 vez por semana,,
27933,Estudiante de licenciatura,3.07,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,16:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,4 o más veces por semana,Nunca,1
27934,Profesor (a) de tiempo fijo,3.36,,Transporte universitario,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:30:00,10:00:00,Mi horario de salida es flexible,18:00:00,21:00:00,Nunca,Nunca,
27935,Estudiante de licenciatura,6.54,,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,15:00:00,18:00:00,,Nunca,
27936,Estudiante de licenciatura,2.09,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,03:00:00,,,
27937,Personal administrativo,16.58,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,1 vez por semana,,1
27938,Estudiante de licenciatura,3.8,,,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,06:40:00,,Mi horario de salida es flexible,13:00:00,19:00:00,2 veces por semana,,
27939,Estudiante de licenciatura,7.9,,Automóvil compacto,Pasajera,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,03:00:00,22:00:00,,3 veces por semana,2
27940,Profesor (a) de asignatura,5.38,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,09:00:00,15:00:00,,Nunca,
27941,Estudiante de licenciatura,2.74,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,04:00:00,08:00:00,1 vez por semana,,
27942,Estudiante de licenciatura,6.37,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,03:00:00,06:00:00,Nunca,Nunca,
27943,Estudiante de licenciatura,4.94,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:50:00,,Mi horario de salida es flexible,15:00:00,22:00:00,Nunca,Nunca,
27944,Personal administrativo,11.9,,,Pasajera,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,14:00:00,20:00:00,,,
27945,Estudiante de licenciatura,,,Transporte colectivo (Camión/rutas de MiTransporte),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,01:00:00,11:00:00,1 vez por semana,3 veces por semana,3
27946,Estudiante de licenciatura,7.49,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,03:30:00,05:30:00,Mi horario de salida es fijo,08:00:00,,Nunca,Nunca,
27947,Estudiante de licenciatura,19.94,70,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,06:00:00,Mi horario de salida es flexible,06:00:00,10:00:00,Nunca,1 vez por semana,
27948,Estudiante de posgrado,12.16,,Automóvil compacto,Conductora,,,,,Viernes,Sábado,,2,2,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,Nunca,
27949,Estudiante de licenciatura,10.51,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es flexible,20:00:00,22:00:00,Nunca,Nunca,
27950,Estudiante de licenciatura,6.57,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,12:00:00,,Mi horario de salida es fijo,09:00:00,,Nunca,Nunca,
27951,Estudiante de licenciatura,13.71,,Transporte colectivo (Camión/rutas de MiTransporte),,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,20:00:00,,,,
27952,Profesor (a) de tiempo fijo,4.37,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,08:30:00,Mi horario de salida es flexible,05:30:00,06:00:00,Nunca,Nunca,
27953,Estudiante de licenciatura,20.76,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,14:00:00,18:00:00,1 vez por semana,Nunca,
27954,Estudiante de licenciatura,15.89,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,03:00:00,,2 veces por semana,Nunca,
27955,Estudiante de licenciatura,15.05,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,
27956,Estudiante de licenciatura,14.09,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,22:00:00,,2 veces por semana,1 vez por semana,
27957,Estudiante de licenciatura,25.54,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,15:00:00,21:00:00,4 o más veces por semana,,1
27958,Estudiante de licenciatura,3.81,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,19:00:00,20:00:00,Nunca,Nunca,
27959,Profesor (a) de tiempo fijo,6.07,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,09:30:00,Mi horario de salida es flexible,07:30:00,08:30:00,Nunca,Nunca,1
27960,Estudiante de licenciatura,25.42,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,16:00:00,18:00:00,Mi horario de salida es fijo,22:00:00,,,,
27961,Estudiante de licenciatura,19.44,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,03:00:00,Nunca,Nunca,
27962,Estudiante de posgrado,7.64,,Scooter o monopatín,,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es flexible,10:00:00,14:00:00,Mi horario de salida es flexible,15:00:00,20:00:00,,,
27963,Estudiante de licenciatura,34.24,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,10:00:00,13:00:00,Nunca,Nunca,
27964,Personal administrativo,16.42,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,20:00:00,21:00:00,,,
27965,Estudiante de licenciatura,12.31,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,04:00:00,07:00:00,,Nunca,
27966,Estudiante de licenciatura,7.83,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,11:00:00,,,Nunca,
27967,Estudiante de licenciatura,12.06,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:30:00,08:30:00,Mi horario de salida es flexible,11:00:00,13:00:00,2 veces por semana,Nunca,
27968,Estudiante de licenciatura,9.1,,Taxi (internet o aplicación como Uber),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,22:00:00,,,,
27969,Profesor (a) de asignatura,8.37,60,Automóvil híbrido,Conductora,,Martes,,Jueves,Viernes,,,3,3,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,Nunca,Nunca,2
27970,Estudiante de licenciatura,2.65,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,01:00:00,03:00:00,,,
27971,Estudiante de licenciatura,3.96,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,10:00:00,Mi horario de salida es flexible,06:00:00,07:00:00,,,
27972,Estudiante de licenciatura,11.89,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,12:00:00,02:30:00,Nunca,Nunca,
27973,Estudiante de posgrado,16.39,,Automóvil SUV (tipo camioneta),Conductora,,,,Jueves,Viernes,,,2,2,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,1
27974,Profesor (a) de asignatura,13.82,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,12:00:00,13:00:00,Mi horario de salida es flexible,15:30:00,22:00:00,Nunca,Nunca,
27975,Estudiante de licenciatura,18.26,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,13:00:00,Mi horario de salida es flexible,11:00:00,03:00:00,Nunca,Nunca,
27976,Estudiante de licenciatura,14.74,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,1 vez por semana,
27977,Personal administrativo,5.99,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,14:00:00,,3 veces por semana,,1
27978,Estudiante de licenciatura,2.99,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,08:50:00,,Mi horario de salida es fijo,18:20:00,,,,
27979,Estudiante de licenciatura,5.01,,Automóvil compacto,Pasajera,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,04:00:00,08:00:00,,,1
27980,Estudiante de licenciatura,5.37,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,,Viernes,Sábado,,5,5,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,13:00:00,18:00:00,4 o más veces por semana,,
27981,Estudiante de licenciatura,26.62,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,16:00:00,,Mi horario de salida es fijo,22:00:00,,1 vez por semana,Nunca,
27982,Estudiante de licenciatura,8.52,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,01:00:00,Nunca,Nunca,
27983,Estudiante de licenciatura,7.97,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,14:00:00,18:00:00,Mi horario de salida es flexible,10:00:00,22:00:00,4 o más veces por semana,,1
27984,Estudiante de licenciatura,7.9,,Automóvil compacto,Pasajera,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:20:00,18:10:00,,Nunca,2
27985,Personal administrativo,4.84,,Automóvil híbrido,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,,,3
27986,Estudiante de licenciatura,3.07,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,03:00:00,,4 o más veces por semana,,2
27987,Estudiante de licenciatura,15.7,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,04:00:00,10:00:00,Nunca,Nunca,
27988,Estudiante de posgrado,18.21,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,19:00:00,19:30:00,Mi horario de salida es flexible,22:00:00,22:30:00,,,
27989,Personal administrativo,10.78,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,03:00:00,,1 vez por semana,Nunca,1
27990,Profesor (a) de asignatura,6.2,,Transporte universitario,,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,15:00:00,,,
27991,Estudiante de licenciatura,6.2,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,16:00:00,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
27992,Profesor (a) de tiempo fijo,5.2,,Taxi (internet o aplicación como Uber),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es flexible,18:00:00,20:00:00,,,
27993,Estudiante de licenciatura,18.53,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es flexible,20:00:00,21:30:00,Nunca,Nunca,1
27994,Estudiante de licenciatura,13.19,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,20:00:00,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,1
27995,Profesor (a) de asignatura,9.27,,Automóvil compacto,Pasajera,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es flexible,15:30:00,15:45:00,Mi horario de salida es fijo,18:00:00,,2 veces por semana,,
27996,Estudiante de licenciatura,21.79,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,04:00:00,06:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,,
27997,Estudiante de licenciatura,22.22,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,03:00:00,,,,
27998,Estudiante de licenciatura,15.85,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,15:00:00,,2 veces por semana,,2
27999,Estudiante de licenciatura,3.83,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,03:00:00,,Nunca,Nunca,1
28000,Estudiante de licenciatura,11.63,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,01:00:00,Mi horario de salida es flexible,09:00:00,21:00:00,4 o más veces por semana,2 veces por semana,2
28001,Estudiante de licenciatura,40.98,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,17:30:00,,Nunca,1
28002,Estudiante de licenciatura,8.18,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,15:00:00,,Nunca,4
28003,Estudiante de licenciatura,9.54,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,10:00:00,,3 veces por semana,1 vez por semana,1
28004,Estudiante de licenciatura,7.32,,Automóvil compacto,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,11:15:00,,Mi horario de salida es flexible,13:45:00,14:30:00,Nunca,Nunca,
28005,Estudiante de licenciatura,8.01,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,08:30:00,11:00:00,Mi horario de salida es fijo,22:00:00,,,,
28006,Estudiante de licenciatura,15.96,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,03:30:00,08:00:00,1 vez por semana,4 o más veces por semana,
28007,Estudiante de licenciatura,15.96,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,03:30:00,08:00:00,1 vez por semana,4 o más veces por semana,
28008,Estudiante de licenciatura,14.95,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:00:00,15:00:00,,,
28009,Estudiante de licenciatura,10.28,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,13:00:00,Nunca,1 vez por semana,
28010,Estudiante de licenciatura,12.19,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,16:00:00,20:00:00,,,2
28011,Estudiante de licenciatura,13.36,10,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,13:00:00,17:00:00,Nunca,Nunca,
28012,Estudiante de licenciatura,9.81,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,4 o más veces por semana,2
28013,Estudiante de posgrado,,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,06:00:00,,,,
28014,Profesor (a) de asignatura,14.57,,Automóvil compacto,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,09:00:00,,Nunca,Nunca,
28015,Estudiante de licenciatura,7.52,,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,09:00:00,16:00:00,Mi horario de salida es flexible,11:00:00,22:00:00,,,
28016,Estudiante de licenciatura,10.17,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,16:00:00,20:00:00,2 veces por semana,Nunca,
28017,Estudiante de licenciatura,17.1,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,01:00:00,,Nunca,Nunca,
28018,Profesor (a) de tiempo fijo,12.66,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,09:00:00,09:30:00,Mi horario de salida es flexible,05:00:00,06:00:00,Nunca,Nunca,1
28019,Personal administrativo,10.04,,Taxi (internet o aplicación como Uber),,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,,,
28020,Profesor (a) de asignatura,13.63,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,,Viernes,,,3,3,Mi horario de llegada es fijo,13:00:00,,Mi horario de salida es fijo,15:00:00,,1 vez por semana,,
28021,Estudiante de licenciatura,2.65,,Llego caminando hasta el ITESO,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,2 veces por semana,
28022,Estudiante de licenciatura,5.14,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,20:00:00,,Mi horario de salida es fijo,22:00:00,,1 vez por semana,Nunca,
28023,Estudiante de licenciatura,4.9,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,04:00:00,,Mi horario de salida es fijo,10:00:00,,1 vez por semana,3 veces por semana,
28024,Estudiante de posgrado,14.97,,Automóvil compacto,Conductora,,,,,Viernes,,,1,1,Mi horario de llegada es flexible,10:00:00,12:00:00,Mi horario de salida es fijo,22:00:00,,Nunca,,
28025,Estudiante de licenciatura,9.05,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,,,
28026,Profesor (a) de asignatura,24.44,,Automóvil compacto,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,08:50:00,,Nunca,Nunca,
28027,Personal administrativo,12.88,5,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:10:00,,Mi horario de salida es flexible,05:00:00,06:00:00,1 vez por semana,Nunca,2
28028,Personal administrativo,2.32,,Llego caminando hasta el ITESO,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,10:00:00,,Mi horario de salida es fijo,20:00:00,,Nunca,Nunca,
28029,Personal administrativo,8.43,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,16:00:00,,,
28030,Estudiante de licenciatura,5.92,,Transporte universitario,,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,11:00:00,13:00:00,Mi horario de salida es flexible,15:00:00,17:30:00,,,
28031,Estudiante de licenciatura,3.68,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,09:00:00,20:00:00,,,
28032,Estudiante de licenciatura,8.95,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,13:00:00,Mi horario de salida es flexible,03:00:00,06:00:00,,,
28033,Estudiante de licenciatura,16.94,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,06:30:00,09:30:00,Mi horario de salida es flexible,16:00:00,20:30:00,2 veces por semana,Nunca,1
28034,Estudiante de licenciatura,11.82,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,13:00:00,16:00:00,Mi horario de salida es fijo,20:00:00,,,,
28035,Profesor (a) de tiempo fijo,23.72,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,07:00:00,,,,
28036,Estudiante de licenciatura,9.94,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,16:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,1 vez por semana,,
